"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
34,"Michigan","Private",6415,3301743.11416668,667577.409166667,707436.232500001,0.202189385890961,0.214261442422867,"MI",1989
34,"Michigan","Private",6577,3259590.56750001,654394.329999999,693892.765833332,0.200759664177895,0.21287727355957,"MI",1990
34,"Michigan","Private",6417,3178727.5725,604083.206666667,632003.621666668,0.190039306879044,0.198822826147079,"MI",1991
34,"Michigan","Private",6463,3233590.23416665,629622.660000001,663723.347500001,0.194713190197945,0.205258950591087,"MI",1992
34,"Michigan","Private",6410,3323117.17583334,610508.095833334,638761.588333334,0.183715492486954,0.192217588424683,"MI",1993
34,"Michigan","Private",6453,3448018.946675,631502.328083334,676548.340033333,0.183149322867393,0.196213632822037,"MI",1994
34,"Michigan","Private",6589,3437985.42992501,633309.106775001,673224.995983335,0.184209361672401,0.195819616317749,"MI",1995
34,"Michigan","Private",4818,3564220.84186667,650501.611391666,697202.426608333,0.182508781552315,0.195611461997032,"MI",1996
34,"Michigan","Private",4922,3663969.22441666,663462.838158332,701386.917924999,0.181077629327774,0.191428169608116,"MI",1997
34,"Michigan","Private",5096,3846671.42524167,643438.968425,673420.366883333,0.167271628975868,0.175065740942955,"MI",1998
34,"Michigan","Private",5149,3923238.94251666,666451.34315,699248.643891666,0.169872745871544,0.178232491016388,"MI",1999
34,"Michigan","Private",5078,3916243.91379999,616784.484249999,646862.330758333,0.157493889331818,0.165174171328545,"MI",2000
34,"Michigan","Private",4721,3832344.77936666,622818.729175,646186.720475,0.162516355514526,0.16861392557621,"MI",2001
34,"Michigan","Private",4346,3645897.16425,571734.012766667,593990.064533334,0.156815722584724,0.162920132279396,"MI",2002
34,"Michigan","Private",4354,3603215.41033334,597121.047983334,632018.522325001,0.16571894288063,0.175404042005539,"MI",2003
34,"Michigan","Private",4214,3695974.32249164,589072.513525,612860.751516666,0.159382194280624,0.165818452835083,"MI",2004
34,"Michigan","Private",4008,3688117.167925,532256.869283333,556740.982725,0.14431668817997,0.150955334305763,"MI",2005
34,"Michigan","Private",3663,3702774.22487501,509093.235891667,532329.345525,0.137489676475525,0.14376500248909,"MI",2006
34,"Michigan","Private",3475,3614967.29548331,503032.238016667,530341.643183334,0.139152646064758,0.14670717716217,"MI",2007
34,"Michigan","Private",3400,3558576.45555,466852.067983334,488617.897366667,0.131190687417984,0.137307122349739,"MI",2008
34,"Michigan","Private",3193,3234905.32709165,395496.190675,419926.11865,0.122258968651295,0.129810944199562,"MI",2009
34,"Michigan","Private",3179,3264304.658675,362588.448033333,378472.67125,0.111076779663563,0.115942813456059,"MI",2010
34,"Michigan","Private",3160,3313228.50573334,394814.347733334,410768.660041667,0.119163028895855,0.123978368937969,"MI",2011
34,"Michigan","Private",3238,3317701.03071667,375162.892666666,389063.145308333,0.11307917535305,0.117268897593021,"MI",2012
34,"Michigan","Private",3255,3423941.22199167,375706.606791667,389294.871375,0.109729282557964,0.11369788646698,"MI",2013
34,"Michigan","Private",3308,3568369.34273332,353746.103525,385765.013275,0.0991338267922401,0.108106806874275,"MI",2014
34,"Michigan","Private",3150,3630989.94213333,401881.881625,434756.521575,0.11068107932806,0.119734980165958,"MI",2015
34,"Michigan","Private",3245,3689593.13785,372251.735483333,399633.703291667,0.100892350077629,0.108313761651516,"MI",2016
34,"Michigan","Private",3240,3716432.97676666,419602.750875,444725.92195,0.112904697656631,0.119664721190929,"MI",2017
34,"Michigan","Private",3264,3828300.46390833,419295.353233334,446024.869883334,0.109525196254253,0.116507276892662,"MI",2018
34,"Michigan","Private",3149,3855525.48168332,379431.111958334,422683.8,0.0984122976660728,0.109630659222603,"MI",2019
34,"Michigan","Private",2680,3485411.89093333,387095.289008333,424308.959683333,0.111061565577984,0.121738538146019,"MI",2020
34,"Michigan","Private",2617,3577493.20539167,325890.057791667,371564.396566667,0.0910945311188698,0.103861667215824,"MI",2021
34,"Michigan","Private",2589,3798508.280325,401329.743283334,439677.254991667,0.105654567480087,0.115749977529049,"MI",2022
56,"North Carolina","Private",2790,1912981.55166667,102359.241666667,123497.835,0.0535077005624771,0.0645577758550644,"NC",1983
56,"North Carolina","Private",3244,2104729.65666667,100371.916666667,118223.548333333,0.0476887449622154,0.0561704188585281,"NC",1984
56,"North Carolina","Private",5534,2235233.45750001,106095.295,126622.230833333,0.0474649742245674,0.0566483251750469,"NC",1985
56,"North Carolina","Private",6458,2297687.9625,101433.411666667,117234.038333333,0.0441458597779274,0.0510226115584373,"NC",1986
56,"North Carolina","Private",6731,2401830.42166668,99100.3791666666,117697.484166667,0.0412603579461575,0.0490032434463501,"NC",1987
56,"North Carolina","Private",6834,2442186.90499999,105417.145833333,126603.496666667,0.043165061622858,0.051840215921402,"NC",1988
56,"North Carolina","Private",6983,2508073.25416666,94862.0566666667,112827.501666667,0.0378226824104786,0.0449857264757156,"NC",1989
56,"North Carolina","Private",6887,2502895.34333333,94696.1416666667,112454.4325,0.0378346405923367,0.0449297390878201,"NC",1990
56,"North Carolina","Private",6599,2490483.02583333,88191.8475,106570.991666667,0.0354115441441536,0.0427912957966328,"NC",1991
56,"North Carolina","Private",6495,2495333.24083334,75306.1250000001,91260.2908333333,0.0301787853240967,0.0365723855793476,"NC",1992
56,"North Carolina","Private",6462,2529241.70666667,88900.9750000001,106139.659166667,0.0351492613554001,0.0419650115072727,"NC",1993
56,"North Carolina","Private",6140,2568450.058375,90520.43375,106761.835583333,0.0352432131767273,0.0415666401386261,"NC",1994
56,"North Carolina","Private",6027,2644992.85368332,64890.455575,83581.522875,0.0245333202183247,0.0315999053418636,"NC",1995
56,"North Carolina","Private",3565,2753905.28829165,72790.803,81914.0089166667,0.0264318473637104,0.0297446716576815,"NC",1996
56,"North Carolina","Private",3620,2822864.15413334,78131.8280166667,89397.1692166667,0.0276782102882862,0.0316689573228359,"NC",1997
56,"North Carolina","Private",3591,2820035.44746666,78948.0738916667,93417.3490333333,0.0279954187572002,0.0331263020634651,"NC",1998
56,"North Carolina","Private",3546,2836892.3511,54989.6031,65766.12835,0.0193837471306324,0.0231824554502964,"NC",1999
56,"North Carolina","Private",3529,2898775.44620833,68199.449375,84479.321025,0.0235269851982594,0.0291431061923504,"NC",2000
56,"North Carolina","Private",3334,2879474.35023333,67105.8379,75784.2457,0.0233048908412457,0.0263187773525715,"NC",2001
56,"North Carolina","Private",3142,2792835.56311667,58579.5546666667,68464.242025,0.020974937826395,0.0245142411440611,"NC",2002
56,"North Carolina","Private",3209,3006696.77006666,62728.6665916667,74928.1019833333,0.0208629835397005,0.0249204058200121,"NC",2003
56,"North Carolina","Private",3125,2994345.17085,47823.6401,66831.9915666667,0.0159713178873062,0.0223194006830454,"NC",2004
56,"North Carolina","Private",2960,3031276.0539,55006.9982,74413.4357,0.0181464832276106,0.0245485510677099,"NC",2005
56,"North Carolina","Private",2938,3180923.29989167,57780.6008583333,71512.9218583333,0.0181647259742022,0.0224818121641874,"NC",2006
56,"North Carolina","Private",2851,3149800.470175,63583.2301666667,75614.3042333333,0.0201864317059517,0.0240060612559319,"NC",2007
56,"North Carolina","Private",2839,3180287.64658333,64396.3255083333,82394.6864916667,0.0202485844492912,0.0259079355746508,"NC",2008
56,"North Carolina","Private",2677,3049915.36183333,46904.45545,63105.4951,0.015378937125206,0.0206909012049437,"NC",2009
56,"North Carolina","Private",2618,3022355.25871667,53771.7389333333,75427.6544083333,0.017791336402297,0.0249565821141005,"NC",2010
56,"North Carolina","Private",2487,2980565.71561667,48552.94415,66514.7571916666,0.0162898413836956,0.0223161522299051,"NC",2011
56,"North Carolina","Private",2633,3181321.60339999,56841.377075,79540.0628833333,0.0178672205656767,0.0250022076070309,"NC",2012
