"player_name","player_id","season","season_type","team","poss","mp","raptor_total","raptor_offense","raptor_defense","war_total","war_reg_season","war_playoffs","pace_impact"
"Kyle Anderson","anderky01",2021,"PO","MEM",300,142,5.90966835311235,0.120169787789744,5.78949856532261,0.653535442342665,0,0.653535442342665,0.982506980574177
"Kyle Anderson","anderky01",2021,"RS","MEM",4023,1887,2.8172676865574,0.599982043600923,2.21728564295647,5.37923712362212,5.37923712362212,0,0.364816285791988
"Kyle Anderson","anderky01",2022,"PO","MEM",481,221,-0.667142090857833,0.377436287006126,-1.04457837786396,0.242663107634233,0,0.242663107634233,0.17952798768869
"Kyle Anderson","anderky01",2022,"RS","MEM",3206,1484,-0.597270689895545,-1.57944750591807,0.98217681602252,1.63351349967296,1.63351349967296,0,0.221056419718982
"Ryan Anderson","anderry01",2014,"RS","NOP",1571,795,0.64675816,3.904641047,-3.257882887,1.367284635,1.367284635,0,-0.728960451
"Ryan Anderson","anderry01",2015,"RS","NOP",3277,1675,-0.319923348,1.47194358,-1.791866927,2.069681473,2.069681473,0,-0.324415052
"Ryan Anderson","anderry01",2016,"RS","NOP",4154,2008,2.266385895,1.971410252,0.294975642,5.151366157,5.151366157,0,0.231404425
"Ryan Anderson","anderry01",2017,"PO","HOU",672,336,0.191472145,-1.36499343,1.556465574,0.51221407,0,0.51221407,-1.457514371
"Ryan Anderson","anderry01",2017,"RS","HOU",4422,2116,0.251806428,0.996809523,-0.745003095,3.231499239,3.231499239,0,-0.278485886
"Ryan Anderson","anderry01",2018,"RS","HOU",3576,1725,0.370989531,0.139721796,0.231267735,2.746514786,2.746514786,0,-0.009118606
"Ryan Anderson","anderry01",2019,"RS","PHO",570,278,-4.940714061,-3.270464968,-1.670249092,-0.309507676,-0.309507676,0,-0.398038
"Giannis Antetokounmpo","antetgi01",2014,"RS","MIL",3724,1897,-0.907813065,-1.141213935,0.23340087,1.784034014,1.784034014,0,0.057802805
"Giannis Antetokounmpo","antetgi01",2015,"PO","MIL",392,201,-2.421111742,-3.063768375,0.642656632,0.03446996,0,0.03446996,-0.874633913
"Giannis Antetokounmpo","antetgi01",2015,"RS","MIL",5028,2541,-1.063160799,-0.626522441,-0.436638358,2.177014905,2.177014905,0,-0.431232283
"Giannis Antetokounmpo","antetgi01",2016,"RS","MIL",5625,2823,0.529580837,0.757930952,-0.228350115,4.707738546,4.707738546,0,-0.327328531
"Giannis Antetokounmpo","antetgi01",2017,"PO","MIL",454,243,7.071118361,3.526132619,3.544985742,1.234936887,0,1.234936887,-1.604151608
"Giannis Antetokounmpo","antetgi01",2017,"RS","MIL",5645,2845,5.089617104,2.717066186,2.372550918,11.32471852,11.32471852,0,-0.470954424
"Giannis Antetokounmpo","antetgi01",2018,"PO","MIL",546,280,4.754449786,4.671863552,0.082586234,1.118076325,0,1.118076325,1.09396365
"Giannis Antetokounmpo","antetgi01",2018,"RS","MIL",5604,2756,5.626259953,3.172225799,2.454034154,11.79136734,11.79136734,0,0.112979
"Giannis Antetokounmpo","antetgi01",2019,"PO","MIL",1094,514,7.062644797,2.449745603,4.612899194,2.697328023,0,2.697328023,1.623246054
"Giannis Antetokounmpo","antetgi01",2019,"RS","MIL",5171,2358,6.752330212,4.184342326,2.567987886,11.5725334,11.5725334,0,1.254683784
