"player_ID","Player","year_ID","Age","Tm","tm_gms","Tm_Net_Rtg","Pos","G","MP","MP_pct","PER","TS_pct","ThrPAr","FTr","ORB_pct","TRB_pct","AST_pct","STL_pct","BLK_pct","TOV_pct","USG_pct","OWS","DWS","WS","WS40","Composite_Rating","Wins_Generated"
"talbost01w","Stephanie Talbot",2019,25,"MIN",34,3.1,"F-G",33,561,"41.3%",11.4,0.513,0.617,0.201,4,8.7,11.2,2.8,1.4,20,16.8,0.1,1,1.1,0.077,-1,1.12
"charlti01w","Tina Charles",2019,30,"NYL",34,-9.2,"C",33,1028,"75.6%",14.8,0.448,0.104,0.235,7.1,13.8,15,1.1,2.3,12,30.2,-0.6,0.5,-0.1,-0.005,-3.1,1.02
"nurseki01w","Kia Nurse",2019,23,"NYL",34,-9.2,"G",34,1001,"73.6%",14.7,0.554,0.51,0.368,2.1,4.8,13.5,1.3,0.3,11.8,20.8,2.3,-0.3,1.9,0.078,-0.9,2.05
"boydbr01w","Brittany Boyd",2019,26,"NYL",34,-9.2,"G",33,649,"47.7%",13,0.449,0.128,0.189,4.7,10.6,38.2,3.6,0.5,29.4,18.6,-0.6,0.6,0,0.002,-3.2,0.6
"wrighta01w","Tanisha Wright",2019,35,"NYL",34,-9.2,"G",31,613,"45.1%",12.7,0.512,0.292,0.238,3.9,8,32.6,2.6,1.2,28.4,14.3,0.4,0.3,0.6,0.041,-2.2,0.86
"zahuiam01w","Amanda Zahui B.",2019,25,"NYL",34,-9.2,"C",24,558,"41.0%",15.8,0.56,0.399,0.156,5.3,15.5,6.6,2.3,4.9,14.8,17,0.6,0.8,1.4,0.098,-0.2,1.34
"hartlbr01w","Bria Hartley",2019,26,"NYL",34,-9.2,"G",24,545,"40.1%",12.9,0.492,0.348,0.314,3.7,8,24.3,1.7,0.2,17.3,23.2,0.2,0,0.3,0.019,-2.8,0.62
"grayre01w","Reshanda Gray",2019,26,"NYL",34,-9.2,"F",34,519,"38.2%",11.1,0.502,0.013,0.413,13.5,19.3,6,1.6,1.1,19.2,18.5,0.1,0.4,0.5,0.037,-2.6,0.63
"allenre01w","Rebecca Allen",2019,26,"NYL",34,-9.2,"F",24,412,"30.3%",13.5,0.527,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,0.5,0.2,0.6,0.059,-1.6,0.7
"raincna01w","Nayo Raincock-Ekunwe",2019,27,"NYL",34,-9.2,"F",28,367,"27.0%",11.3,0.572,0.038,0.316,12,11.9,5.4,1.1,0.9,19.6,13.3,0.5,0,0.4,0.047,-2.3,0.5
"johanma01w","Marine Johannes",2019,0,"NYL",34,-9.2,"",19,345,"25.4%",14.6,0.575,0.6,0.173,2.9,5.6,23,1.2,0.7,15.7,17.8,0.8,-0.1,0.7,0.077,-1,0.7
"bonnede01w","DeWanna Bonner",2019,31,"PHO",34,-1.4,"G-F",34,1120,"82.1%",20.6,0.507,0.379,0.331,3.6,13.4,16.2,2.1,1.5,8.4,26.7,2.2,1.8,4,0.144,2.2,3.98
"grinebr01w","Brittney Griner",2019,28,"PHO",34,-1.4,"C",31,1018,"74.6%",26.4,0.601,0.006,0.261,6,12.6,17.9,1.1,4.8,12.5,28.4,3.6,1.5,5,0.198,4.6,4.82
